lat,lon,sat,data_pas
 -10.2760,  30.8560,AQUA_M,2015-08-26 11:35:00
 -10.2710,  30.6980,AQUA_M,2015-08-26 11:35:00
 -10.2670,  31.1130,AQUA_M,2015-08-26 11:35:00
 -10.2670,  30.8550,AQUA_M,2015-08-26 11:35:00
 -10.2290,  30.7320,AQUA_M,2015-08-26 11:35:00
 -10.1900,  30.8090,AQUA_M,2015-08-26 11:35:00
 -10.1920,  30.7360,AQUA_M,2015-08-26 11:35:00
 -10.1800,  30.7520,AQUA_M,2015-08-26 11:35:00
 -10.1790,  30.7610,AQUA_M,2015-08-26 11:35:00
 -10.0980,  30.8180,AQUA_M,2015-08-26 11:35:00
 -10.0960,  30.8270,AQUA_M,2015-08-26 11:35:00
 -10.0590,  30.8950,AQUA_M,2015-08-26 11:35:00
  -9.7240,  29.8860,AQUA_M,2015-08-26 11:35:00
  -9.7220,  29.8950,AQUA_M,2015-08-26 11:35:00
  -9.3250,  30.1670,AQUA_M,2015-08-26 11:35:00
  -9.3210,  29.7370,AQUA_M,2015-08-26 11:35:00
  -9.3100,  29.4880,AQUA_M,2015-08-26 11:35:00
  -9.3120,  29.7360,AQUA_M,2015-08-26 11:35:00
  -9.3110,  29.7450,AQUA_M,2015-08-26 11:35:00
  -9.3090,  29.7540,AQUA_M,2015-08-26 11:35:00
  -9.3090,  29.4980,AQUA_M,2015-08-26 11:35:00
  -9.3080,  29.7640,AQUA_M,2015-08-26 11:35:00
  -9.3030,  29.7340,AQUA_M,2015-08-26 11:35:00
  -9.2990,  29.7620,AQUA_M,2015-08-26 11:35:00
  -9.2950,  30.1200,AQUA_M,2015-08-26 11:35:00
  -9.2940,  30.1290,AQUA_M,2015-08-26 11:35:00
  -9.2930,  29.4760,AQUA_M,2015-08-26 11:35:00
  -9.2580,  30.1240,AQUA_M,2015-08-26 11:35:00
  -9.2310,  30.1140,AQUA_M,2015-08-26 11:35:00
  -9.1830,  29.9940,AQUA_M,2015-08-26 11:35:00
  -9.1500,  29.7090,AQUA_M,2015-08-26 11:35:00
  -8.7360,  30.0390,AQUA_M,2015-08-26 11:35:00
  -8.6900,  29.4400,AQUA_M,2015-08-26 11:35:00
  -8.6920,  29.4310,AQUA_M,2015-08-26 11:35:00
  -8.6600,  29.9190,AQUA_M,2015-08-26 11:35:00
  -8.6180,  30.2840,AQUA_M,2015-08-26 11:35:00
  -8.6170,  30.2930,AQUA_M,2015-08-26 11:35:00
  -8.5290,  29.6140,AQUA_M,2015-08-26 11:35:00
  -8.4680,  30.1760,AQUA_M,2015-08-26 11:35:00
  -8.4110,  30.3800,AQUA_M,2015-08-26 11:35:00
  -8.4020,  30.3790,AQUA_M,2015-08-26 11:35:00
  -8.3150,  30.0210,AQUA_M,2015-08-26 11:35:00
  -9.9810,  33.3010,AQUA_M,2015-08-26 11:35:00
  -9.9010,  33.1610,AQUA_M,2015-08-26 11:35:00
  -9.8800,  33.2030,AQUA_M,2015-08-26 11:35:00
  -9.8620,  33.1900,AQUA_M,2015-08-26 11:35:00
  -9.4550,  32.8390,AQUA_M,2015-08-26 11:35:00
  -9.4270,  32.8340,AQUA_M,2015-08-26 11:35:00
  -9.6940,  29.8340,AQUA_M,2015-08-26 11:35:00
  -9.6580,  29.5630,AQUA_M,2015-08-26 11:35:00
  -9.6370,  29.9780,AQUA_M,2015-08-26 11:35:00
  -9.6280,  29.9760,AQUA_M,2015-08-26 11:35:00
  -9.6280,  29.5100,AQUA_M,2015-08-26 11:35:00
  -9.6260,  29.5190,AQUA_M,2015-08-26 11:35:00
  -9.6250,  29.5290,AQUA_M,2015-08-26 11:35:00
  -9.6240,  30.3970,AQUA_M,2015-08-26 11:35:00
  -9.6030,  29.4870,AQUA_M,2015-08-26 11:35:00
  -9.6010,  29.4960,AQUA_M,2015-08-26 11:35:00
  -9.5950,  29.6120,AQUA_M,2015-08-26 11:35:00
  -9.5940,  29.6210,AQUA_M,2015-08-26 11:35:00
  -9.5900,  29.9830,AQUA_M,2015-08-26 11:35:00
  -9.5880,  29.9930,AQUA_M,2015-08-26 11:35:00
  -9.5780,  29.6130,AQUA_M,2015-08-26 11:35:00
